%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
84018.877,300.694,0.973,7.411,26.731,-0.118,13.317,-12.485,-11.222,-22.446,17.52,-17.955,-17.725,-15.625,-14.736,-8.545,21.34,12.556,-6.272,3.663,12.356,-19.364,0,-544.798,-289.718,14.557,-121.267,215.58
84018.877,300.695,0.973,7.455,27.047,0.042,13.75,-12.485,-11.436,-21.402,17.52,-17.955,-17.511,-17.124,-14.066,-8.545,21.552,12.982,-6.272,5.233,11.837,-19.589,0,-544.798,-289.718,14.557,-121.267,215.57
84022.905,300.695,0.973,7.444,26.968,0.202,13.533,-12.708,-11.542,-21.61,17.844,-17.955,-17.191,-15.84,-15.852,-8.545,21.446,12.556,-6.586,5.024,12.875,-19.702,0,-544.798,-289.718,14.557,-121.251,215.59
84022.905,300.694,0.973,7.454,27.047,-0.278,13.533,-12.15,-12.291,-21.715,18.385,-17.851,-17.404,-15.84,-14.178,-9.379,21.552,13.088,-6.586,4.919,12.46,-18.914,0,-544.798,-289.718,14.557,-121.3,215.57
84018.877,300.69,0.973,7.444,26.968,-0.118,13.425,-12.15,-11.542,-22.028,17.952,-17.644,-17.404,-15.84,-14.512,-8.024,21.023,12.663,-6.168,4.605,11.629,-18.238,0,-544.798,-289.718,14.557,-121.283,215.59
84026.933,300.689,0.974,7.411,26.731,-0.598,13.966,-12.262,-11.329,-21.819,17.628,-17.436,-17.191,-15.947,-14.401,-8.128,21.446,12.45,-5.959,4.815,11.629,-19.477,0,-544.798,-289.718,14.557,-121.283,215.57
84022.905,300.692,0.973,7.422,26.81,-0.278,13.533,-12.373,-11.649,-21.924,17.52,-17.436,-17.511,-15.411,-14.736,-8.233,21.34,13.195,-6.691,4.605,12.252,-19.702,0,-544.798,-289.718,14.557,-121.251,215.57
84022.905,300.692,0.973,7.454,27.047,-0.438,13.641,-12.039,-12.291,-21.61,17.844,-17.021,-17.511,-15.732,-13.508,-9.379,21.34,13.195,-7.109,5.129,11.941,-19.026,0,-544.798,-289.718,14.557,-121.251,215.58
84022.905,300.697,0.973,7.422,26.81,-0.118,13.1,-12.039,-10.901,-21.924,17.952,-17.332,-17.191,-15.947,-14.512,-8.337,20.918,13.088,-5.854,4.71,11.941,-19.251,0,-544.798,-289.718,14.557,-121.267,215.601
84030.961,300.692,0.974,7.399,26.652,-0.438,14.399,-12.373,-11.436,-20.88,17.303,-17.332,-17.191,-15.518,-14.847,-8.754,21.551,12.663,-6.795,5.129,11.214,-19.364,0,-544.798,-289.718,14.557,-121.267,215.58
84034.989,300.694,0.974,7.443,26.968,-0.438,13.966,-12.262,-11.542,-21.297,17.952,-17.747,-16.871,-15.518,-14.624,-8.649,21.446,13.408,-6.586,4.919,12.356,-20.04,0,-544.798,-289.718,14.557,-121.251,215.58
84022.905,300.692,0.973,7.411,26.731,-0.278,13.533,-11.927,-11.115,-21.506,18.061,-17.021,-17.511,-15.84,-14.178,-8.545,21.129,12.982,-6.377,4.71,11.941,-18.576,0,-544.798,-289.718,14.557,-121.283,215.59
84022.905,300.687,0.973,7.422,26.81,-0.438,13.208,-12.708,-11.329,-21.819,17.952,-17.436,-16.764,-16.161,-14.512,-8.233,20.812,12.663,-6.586,4.815,12.356,-19.364,0,-544.798,-289.718,14.557,-121.251,215.59
84018.877,300.692,0.973,7.4,26.652,-0.278,13.75,-13.042,-11.542,-21.506,17.195,-17.228,-17.084,-15.625,-14.847,-8.441,21.551,12.769,-6.482,5.233,11.733,-19.364,0,-544.798,-289.718,14.557,-121.251,215.59
84034.989,300.687,0.974,7.443,26.968,-0.118,13.533,-12.039,-11.436,-21.297,17.952,-18.162,-17.298,-15.411,-14.736,-8.858,21.235,12.982,-6.795,5.129,11.941,-19.927,0,-544.798,-289.718,14.557,-121.283,215.59
84022.905,300.69,0.973,7.433,26.889,0.042,13.425,-12.039,-11.115,-21.61,17.628,-17.125,-18.045,-15.625,-14.736,-8.754,21.551,12.769,-6.063,4.501,12.044,-19.702,0,-544.798,-289.718,14.557,-121.283,215.59
84030.961,300.694,0.974,7.454,27.047,-0.278,13.425,-12.485,-11.115,-21.297,17.52,-17.54,-16.657,-16.375,-14.289,-8.649,21.235,13.195,-6.063,4.605,12.148,-19.589,0,-544.798,-289.718,14.557,-121.283,215.57
84039.017,300.692,0.974,7.454,27.047,-0.278,13.966,-13.154,-11.97,-21.715,17.628,-17.644,-17.191,-15.84,-14.959,-8.649,21.446,12.45,-6.691,4.919,12.356,-19.364,0,-544.798,-289.718,14.557,-121.283,215.59
84022.905,300.69,0.973,7.433,26.889,-0.118,13.858,-11.816,-11.756,-22.028,17.628,-17.955,-16.977,-15.84,-13.954,-9.17,21.023,12.982,-7.318,4.919,12.148,-18.914,0,-544.798,-289.718,14.557,-121.283,215.59
84022.905,300.689,0.973,7.411,26.731,0.042,13.858,-11.704,-11.222,-21.819,17.195,-17.332,-17.298,-15.84,-14.512,-8.754,21.446,12.344,-6.795,4.082,12.356,-19.026,0,-544.798,-289.718,14.557,-121.283,215.58
84026.933,300.692,0.974,7.422,26.81,0.042,13.533,-12.485,-11.222,-21.297,17.952,-17.332,-17.298,-16.054,-14.401,-8.545,21.129,12.982,-6.586,4.71,11.733,-19.251,0,-544.798,-289.718,14.557,-121.267,215.59
84030.961,300.689,0.974,7.432,26.889,-0.118,13.858,-12.485,-11.222,-21.297,17.952,-17.644,-17.191,-15.09,-15.406,-8.962,21.868,12.876,-6.168,5.129,12.356,-19.702,0,-544.798,-289.718,14.557,-121.3,215.59
84030.961,300.692,0.974,7.454,27.047,0.042,13.75,-12.373,-11.542,-21.715,17.844,-17.436,-17.191,-15.625,-14.289,-9.379,21.868,12.876,-6.795,4.605,12.044,-18.801,0,-544.798,-289.718,14.557,-121.267,215.59
84039.017,300.7,0.974,7.399,26.652,-0.278,13.425,-12.039,-11.436,-22.55,17.52,-16.917,-17.191,-15.625,-14.624,-8.231,21.235,12.663,-6.482,4.71,12.356,-18.914,0,-544.798,-289.718,14.557,-121.267,215.59
84030.961,300.692,0.974,7.432,26.889,0.202,13.966,-11.927,-11.329,-21.715,17.195,-17.332,-16.871,-15.625,-14.066,-8.648,21.657,12.45,-7.109,5.338,11.525,-19.251,0,-544.798,-289.718,14.557,-121.267,215.601
84030.961,300.692,0.974,7.443,26.968,0.042,13.75,-11.816,-11.756,-21.402,17.412,-17.644,-17.191,-14.876,-14.959,-8.856,20.812,13.089,-6.377,5.024,11.941,-19.702,0,-544.798,-289.718,14.557,-121.267,215.58
