%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
101614.519,300.515,1.178,0.000,-0.103,0.336,-3.783,-2.786,-0.962,-0.209,-0.864,-3.943,-3.417,-3.104,-1.340,-1.772,0.211,-3.505,0.105,-1.358,-1.762,-1.914,-2.033,0.033,-0.092,0.001,535.448,336.520
101622.582,300.507,1.178,0.000,-0.024,0.176,-4.323,-3.121,-0.534,-0.418,-0.972,-3.424,-4.057,-2.783,-1.340,-1.772,0.423,-3.929,1.152,-2.194,-0.829,-1.801,-2.013,-0.044,-0.103,0.000,535.448,336.520
101614.519,300.517,1.178,0.000,-0.182,0.016,-4.431,-3.567,-0.641,0.209,-0.972,-3.736,-3.096,-3.853,-1.563,-1.772,0.423,-4.036,0.524,-0.627,-1.762,-1.801,-2.023,-0.005,-0.113,0.001,535.448,336.520
101630.644,300.514,1.178,0.000,-0.103,0.176,-3.783,-3.567,-1.283,-0.209,-0.864,-3.736,-3.417,-3.318,-1.898,-1.146,0.739,-3.929,0.314,-1.358,-0.933,-2.252,-1.992,-0.025,-0.113,0.001,535.448,336.520
101618.550,300.517,1.178,0.000,-0.103,0.016,-3.999,-2.898,-1.924,0.105,-0.648,-3.632,-3.310,-3.318,-1.451,-2.084,0.211,-3.823,0.419,-0.836,-1.036,-1.801,-2.054,-0.005,-0.103,0.001,535.448,336.520
101610.487,300.515,1.178,0.000,-0.261,0.336,-4.539,-3.232,-0.748,-1.044,-0.972,-3.632,-3.630,-3.318,-1.451,-1.251,0.317,-4.354,1.047,-1.567,-1.244,-1.576,-2.013,0.014,-0.133,0.001,535.448,336.520
101610.487,300.515,1.178,0.000,-0.182,0.176,-3.459,-3.789,-0.748,0.523,-1.079,-3.736,-3.524,-3.211,-1.898,-1.459,0.528,-4.354,0.314,-0.522,-1.969,-2.139,-2.033,-0.025,-0.113,0.001,535.448,336.520
101614.519,300.514,1.178,0.000,-0.182,-0.144,-4.215,-3.789,-1.069,-0.418,-1.187,-3.840,-3.951,-2.890,-2.568,-1.667,0.317,-4.036,0.838,-0.731,-0.933,-2.252,-2.023,0.014,-0.092,0.001,535.448,336.520
101594.361,300.519,1.178,0.000,-0.340,0.336,-3.999,-3.232,-1.710,0.105,-0.864,-3.114,-3.524,-2.782,-1.228,-1.771,0.317,-3.823,0.942,-1.254,-0.933,-1.351,0.028,0.014,-0.001,0.000,535.448,336.520
101582.267,300.519,1.178,0.000,-0.182,0.016,-4.215,-3.009,-0.214,-0.418,-1.187,-2.802,-3.097,-2.568,-1.005,-1.355,-0.211,-3.717,0.733,-1.149,-1.140,-1.463,-0.003,-0.005,-0.011,0.000,535.448,336.520
101586.298,300.515,1.178,0.000,-0.261,0.016,-4.107,-3.009,-0.855,-0.104,-1.619,-3.425,-3.524,-3.210,-1.898,-1.355,0.951,-3.611,0.628,-0.731,-1.658,-1.688,0.018,-0.005,-0.021,-0.000,535.448,336.520
101586.298,300.519,1.178,0.000,-0.340,0.336,-3.999,-3.121,-0.855,-0.104,-0.864,-3.944,-3.844,-2.461,-2.121,-1.146,0.528,-3.823,0.838,-0.836,-0.933,-2.476,0.018,-0.025,-0.021,0.001,535.448,336.520
101594.361,300.515,1.178,0.000,-0.340,0.176,-4.107,-3.121,-0.641,-0.104,-0.756,-2.802,-3.203,-2.782,-1.340,-2.501,0.528,-3.505,0.838,-1.254,-1.658,-1.576,0.018,-0.005,-0.021,0.001,535.448,336.520
101590.330,300.522,1.178,0.000,-0.103,0.016,-4.323,-3.121,-0.641,0.209,-1.187,-3.217,-2.990,-3.638,-1.786,-1.875,-0.527,-3.398,1.047,-1.254,-0.726,-1.238,0.018,0.014,-0.021,0.000,535.448,336.520
101578.235,300.520,1.178,0.000,-0.182,0.336,-3.783,-3.789,-0.855,0.105,-1.295,-3.321,-3.524,-3.103,-2.009,-1.771,0.634,-4.460,0.628,-0.940,-0.829,-2.139,0.028,-0.005,-0.011,0.000,535.448,336.520
