%Time(s)	Speed(rpm)		
	%3/22/20171:08 PM
13.280	21.300
13.290	21.300
13.300	21.100
13.310	21.000
13.320	21.000
13.330	20.900
13.340	20.800
13.350	20.800
13.360	20.700
13.370	20.600
13.380	20.500
13.390	20.500
13.400	20.400
13.410	20.400
13.420	20.300
13.430	20.300
13.440	20.200
13.450	20.100
13.460	20.000
13.470	19.900
13.480	19.900
13.490	19.800
13.500	19.800
13.510	19.700
13.520	19.600
13.530	19.600
13.540	19.500
13.550	19.400
13.560	19.300
13.570	19.300
13.580	19.200
13.590	19.100
13.600	19.000
13.610	18.900
13.620	18.900
13.630	18.800
13.640	18.800
13.650	18.700
13.660	18.700
13.670	18.600
13.680	18.500
13.690	18.500
13.700	18.400
13.710	18.300
13.720	18.200
13.730	18.200
13.740	18.100
13.750	18.000
13.760	17.900
13.770	17.800
13.780	17.700
13.790	17.600
13.800	17.600
13.810	17.500
13.820	17.400
13.830	17.300
13.840	17.300
13.850	17.200
13.860	17.100
13.870	17.100
13.880	17.000
13.890	16.900
13.900	16.800
13.910	16.700
13.920	16.600
13.930	16.500
13.940	16.400
13.950	16.400
13.960	16.300
13.970	16.200
13.980	16.200
13.990	16.100
14.000	16.000
14.010	15.900
14.020	15.800
14.030	15.700
14.040	15.700
14.050	15.500
14.060	15.500
14.070	15.400
14.080	15.300
14.090	15.200
14.100	15.100
14.110	15.000
14.120	14.900
14.130	14.900
14.140	14.700
14.150	14.700
14.160	14.600
14.170	14.600
14.180	14.500
14.190	14.500
14.200	14.400
14.210	14.300
14.220	14.200
14.230	14.100
14.240	14.000
14.250	13.900
14.260	13.900
14.270	13.800
14.280	13.800
14.290	13.700
14.300	13.600
14.310	13.500
14.320	13.400
14.330	13.400
14.340	13.300
14.350	13.200
14.360	13.200
14.370	13.100
14.380	13.000
14.390	13.000
14.400	12.900
14.410	12.800
14.420	12.800
14.430	12.700
14.440	12.600
14.450	12.600
14.460	12.500
14.470	12.500
14.480	12.400
14.490	12.300
14.500	12.300
14.510	12.200
14.520	12.100
14.530	12.000
14.540	12.000
14.550	11.900
14.560	11.900
14.570	11.800
14.580	11.700
14.590	11.600
14.600	11.600
14.610	11.500
14.620	11.400
14.630	11.300
14.640	11.300
14.650	11.200
14.660	11.100
14.670	11.100
14.680	11.000
14.690	11.000
14.700	10.800
14.710	10.800
14.720	10.700
14.730	10.600
14.740	10.600
14.750	10.500
14.760	10.400
14.770	10.300
14.780	10.300
14.790	10.200
14.800	10.100
14.810	10.100
14.820	10.000
14.830	9.900
14.840	9.900
14.850	9.800
14.860	9.700
14.870	9.600
14.880	9.500
14.890	9.500
14.900	9.400
14.910	9.300
14.920	9.200
14.930	9.100
14.940	9.000
14.950	8.900
14.960	8.900
14.970	8.900
14.980	8.800
14.990	8.700
15.000	8.600
15.010	8.500
15.020	8.400
15.030	8.400
15.040	8.300
15.050	8.200
15.060	8.100
15.070	8.000
15.080	8.000
15.090	7.900
15.100	7.800
15.110	7.700
15.120	7.600
15.130	7.600
