%Time(s)	Speed(rpm)		
	%3/13/201511:14 AM
9.520	52.500
9.530	52.400
9.540	52.300
9.550	52.100
9.560	52.200
9.570	52.100
9.580	52.000
9.590	52.000
9.600	52.000
9.610	51.900
9.620	51.800
9.630	51.700
9.640	51.600
9.650	51.500
9.660	51.400
9.670	51.400
9.680	51.300
9.690	51.300
9.700	51.200
9.710	51.100
9.720	50.900
9.730	50.900
9.740	50.700
9.750	51.300
9.760	50.600
9.770	50.600
9.780	50.600
9.790	50.500
9.800	50.400
9.810	50.400
9.820	50.400
9.830	50.400
9.840	50.300
9.850	50.100
9.860	49.900
9.870	49.900
9.880	49.900
9.890	49.800
9.900	49.700
9.910	49.700
9.920	49.600
9.930	49.600
9.940	49.600
9.950	49.500
9.960	49.500
9.970	49.500
9.980	49.400
9.990	49.300
10.000	49.200
10.010	49.200
10.020	49.100
10.030	49.000
10.040	49.100
10.050	49.000
10.060	48.900
10.070	48.900
10.080	48.800
10.090	48.800
10.100	48.700
10.110	48.600
10.120	48.600
10.130	48.500
10.140	48.500
10.150	48.400
10.160	48.400
10.170	48.300
10.180	48.200
10.190	48.200
10.200	48.000
10.210	47.900
10.220	48.000
10.230	47.900
10.240	47.900
10.250	47.800
10.260	47.700
10.270	47.700
10.280	47.600
10.290	47.600
10.300	47.600
10.310	47.200
10.320	47.200
10.330	47.500
10.340	47.100
10.350	47.200
10.360	47.200
10.370	47.100
10.380	46.900
10.390	46.800
10.400	46.800
10.410	46.700
10.420	46.700
10.430	46.600
10.440	46.500
10.450	46.500
10.460	46.400
10.470	46.400
10.480	46.300
10.490	46.200
10.500	46.200
10.510	46.100
10.520	46.100
10.530	46.000
10.540	45.900
10.550	45.800
10.560	45.800
10.570	45.700
10.580	45.700
10.590	45.600
10.600	45.500
10.610	45.500
10.620	45.400
10.630	45.400
10.640	45.300
10.650	45.200
10.660	45.100
10.670	45.000
10.680	45.000
10.690	44.900
10.700	44.800
10.710	44.700
10.720	44.600
10.730	44.600
10.740	44.600
10.750	44.500
10.760	44.400
10.770	44.300
10.780	44.300
10.790	44.200
10.800	44.100
10.810	44.100
10.820	44.000
10.830	43.900
10.840	43.900
10.850	43.800
10.860	43.800
10.870	43.800
10.880	43.700
10.890	43.600
10.900	43.600
10.910	43.500
10.920	43.400
10.930	43.300
10.940	43.200
10.950	43.200
10.960	43.100
10.970	43.100
10.980	43.000
10.990	42.900
11.000	42.800
11.010	42.800
11.020	42.800
11.030	43.000
11.040	42.600
11.050	42.600
11.060	42.600
11.070	42.500
11.080	42.500
11.090	42.400
11.100	42.300
11.110	42.300
11.120	42.200
11.130	42.200
11.140	42.100
11.150	42.100
11.160	42.000
11.170	41.900
11.180	41.900
11.190	41.900
11.200	41.900
11.210	41.800
11.220	41.700
11.230	41.700
11.240	41.600
11.250	41.500
11.260	41.500
11.270	41.400
11.280	41.400
11.290	41.300
11.300	41.200
11.310	41.100
11.320	41.100
11.330	41.000
11.340	41.000
11.350	41.000
11.360	40.900
11.370	40.800
11.380	40.800
11.390	40.700
11.400	40.700
11.410	40.600
11.420	40.500
11.430	40.400
11.440	40.400
11.450	40.300
11.460	40.300
11.470	40.200
11.480	40.100
11.490	40.000
11.500	40.000
11.510	40.100
11.520	40.000
11.530	39.800
11.540	39.700
11.550	39.600
11.560	39.600
11.570	39.500
11.580	39.500
11.590	39.400
11.600	39.400
11.610	39.300
11.620	39.300
11.630	39.200
11.640	39.100
11.650	39.100
11.660	39.000
11.670	38.800
11.680	38.700
11.690	39.000
11.700	38.900
11.710	38.800
11.720	38.600
11.730	38.500
11.740	38.500
11.750	38.400
11.760	38.400
11.770	38.300
11.780	38.300
11.790	38.200
11.800	38.100
11.810	38.100
11.820	38.100
11.830	38.000
11.840	37.900
11.850	37.800
11.860	37.700
11.870	37.700
11.880	37.600
11.890	37.500
11.900	37.400
11.910	37.300
11.920	37.300
11.930	37.200
11.940	37.200
11.950	37.100
11.960	37.100
11.970	37.000
11.980	37.000
11.990	36.900
12.000	36.900
12.010	36.700
12.020	36.600
12.030	36.600
12.040	36.700
12.050	36.600
12.060	36.500
12.070	36.400
12.080	36.300
12.090	36.300
12.100	36.200
12.110	36.200
12.120	36.200
12.130	36.100
12.140	36.000
12.150	36.000
12.160	35.900
12.170	35.800
12.180	35.700
12.190	35.700
12.200	35.500
12.210	35.500
12.220	35.400
12.230	35.500
12.240	35.500
12.250	35.400
12.260	35.300
12.270	35.200
12.280	35.200
12.290	35.100
12.300	35.100
12.310	34.900
12.320	34.900
12.330	34.800
12.340	34.800
12.350	34.800
12.360	34.700
12.370	34.600
12.380	34.600
12.390	34.600
12.400	34.500
12.410	34.500
12.420	34.400
12.430	34.400
12.440	34.300
12.450	34.200
12.460	34.200
12.470	34.100
12.480	34.100
12.490	34.000
12.500	34.000
12.510	34.000
12.520	33.900
12.530	33.900
12.540	33.800
12.550	33.800
12.560	33.700
12.570	33.700
12.580	33.600
12.590	33.500
12.600	33.400
12.610	33.400
12.620	33.400
12.630	33.300
12.640	33.300
12.650	33.200
12.660	33.100
12.670	33.000
12.680	32.900
12.690	32.900
12.700	32.900
12.710	32.800
12.720	32.800
12.730	32.600
12.740	32.400
12.750	32.500
12.760	32.500
12.770	32.400
12.780	32.300
12.790	32.200
12.800	32.200
12.810	32.100
12.820	32.100
12.830	32.000
12.840	32.000
12.850	31.900
12.860	31.800
12.870	31.800
12.880	31.700
12.890	31.600
12.900	31.600
12.910	31.600
12.920	31.600
12.930	31.500
12.940	31.400
12.950	31.300
12.960	31.200
