%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82582.166,301.222,0.955,15.054,108.227,0.176,96.141,98.141,100.403,101.210,101.659,98.269,97.025,97.710,99.531,99.998,103.216,96.714,103.234,101.512,99.783,99.491,-0.009,-0.044,0.438,0.001,535.048,336.269
82578.135,301.222,0.955,15.049,108.148,0.176,95.925,98.476,100.403,101.001,101.443,98.477,97.774,98.247,99.419,101.563,103.322,97.352,103.652,101.931,101.029,99.604,0.002,0.014,0.418,0.001,535.048,336.269
82574.103,301.222,0.955,15.044,108.069,0.496,97.116,98.699,101.152,102.360,101.876,99.101,98.095,98.676,100.426,101.981,103.850,97.246,104.071,102.035,100.406,99.378,0.002,-0.025,0.418,0.000,535.048,336.269
82574.103,301.223,0.955,15.044,108.069,0.176,97.116,99.927,100.617,101.628,101.659,97.645,97.988,98.568,100.314,100.937,103.639,98.310,103.757,101.826,100.821,98.476,0.012,-0.025,0.428,0.000,535.048,336.269
82578.135,301.222,0.955,15.049,108.148,0.496,97.007,99.034,101.152,101.628,102.200,98.061,97.560,98.568,100.985,101.146,103.639,97.565,103.653,101.931,100.406,98.927,0.012,-0.025,0.438,-0.000,535.048,336.269
82582.166,301.220,0.955,15.043,108.069,0.176,95.816,98.587,100.510,101.419,101.984,98.165,97.988,97.710,99.643,101.041,103.005,97.565,104.071,102.454,101.236,100.055,-0.009,0.014,0.438,0.001,535.048,336.269
82574.103,301.220,0.955,15.033,107.911,0.176,96.899,98.476,101.259,102.151,102.416,98.373,98.201,98.998,100.202,101.668,104.062,97.246,104.490,102.244,100.598,98.814,0.012,-0.025,0.428,0.000,535.048,336.269
82574.103,301.222,0.955,15.033,107.911,0.176,96.249,98.587,100.617,101.210,101.767,97.541,97.453,97.710,99.643,100.520,103.216,97.033,102.710,101.930,99.872,98.251,-0.009,-0.005,0.448,0.001,535.048,336.269
82578.135,301.225,0.955,15.038,107.990,0.016,96.141,98.029,100.403,100.687,101.443,97.437,96.918,97.389,99.419,100.728,102.794,96.501,103.653,100.675,99.560,97.912,0.012,-0.025,0.438,0.000,535.048,336.269
82586.197,301.222,0.955,15.032,107.911,0.336,95.492,97.247,100.617,100.687,100.902,96.917,97.132,96.316,98.637,100.206,102.582,96.395,102.606,101.302,99.353,98.476,0.012,-0.005,0.448,0.000,535.048,336.269
82574.103,301.222,0.955,15.039,107.990,0.496,95.059,97.582,99.761,100.583,101.227,97.125,97.025,97.389,98.413,99.998,102.899,95.757,102.710,100.779,99.560,97.348,0.012,-0.063,0.448,-0.000,535.048,336.269
82582.166,301.225,0.955,15.027,107.832,0.336,94.517,97.247,98.690,100.374,100.578,96.917,96.276,97.067,98.637,99.580,102.160,96.182,102.292,100.884,99.041,98.702,0.022,-0.005,0.438,0.000,535.048,336.269
82578.135,301.233,0.955,19.828,187.731,-0.464,165.540,167.588,170.193,170.008,170.657,166.980,166.130,167.534,169.229,170.978,172.387,166.083,173.198,170.896,169.557,168.300,0.012,0.052,0.763,0.001,535.048,336.269
82578.135,301.231,0.955,19.828,187.731,0.336,165.215,166.471,169.765,170.845,170.117,166.876,166.771,167.105,168.334,170.351,171.753,165.764,172.151,170.163,168.207,166.608,0.002,-0.005,0.773,0.001,535.048,336.269
82578.135,301.230,0.955,19.828,187.731,0.016,164.024,166.694,169.122,169.695,170.117,166.772,166.130,166.462,167.216,169.829,171.859,165.977,172.675,171.210,169.038,168.187,0.002,-0.025,0.773,-0.000,535.048,336.269
82578.135,301.231,0.955,19.824,187.652,-0.144,165.323,168.592,170.086,171.890,171.414,168.540,167.627,168.178,169.676,169.621,173.127,166.509,173.303,170.896,169.661,168.526,0.002,-0.005,0.794,-0.000,535.048,336.269
82566.040,301.231,0.955,19.821,187.573,0.176,165.865,167.587,170.514,170.426,171.631,167.604,167.306,167.963,169.676,170.769,171.753,166.296,172.047,170.686,169.142,168.300,0.012,-0.005,0.773,0.000,535.048,336.269
82578.135,301.230,0.955,19.820,187.573,-0.144,165.215,167.810,169.229,170.321,169.576,167.005,166.771,167.320,168.558,170.143,173.549,166.509,173.617,172.361,170.180,169.315,0.002,-0.005,0.763,0.001,535.048,336.269
82578.135,301.231,0.955,19.820,187.573,0.016,167.272,168.257,171.370,171.576,172.280,168.253,167.841,169.036,169.005,171.186,173.021,166.509,173.408,171.000,169.869,167.962,0.012,-0.025,0.783,0.001,535.048,336.269
82574.103,301.231,0.955,19.820,187.573,-0.144,165.756,168.704,169.979,170.530,170.657,167.421,166.557,167.427,169.453,168.994,173.443,167.467,173.303,171.942,170.180,168.977,0.012,0.033,0.773,0.000,535.048,336.269
82578.135,301.233,0.955,19.816,187.494,0.016,166.514,168.369,171.691,171.262,173.037,169.397,168.804,168.178,170.013,171.500,173.655,167.467,173.722,171.314,170.284,168.526,0.012,0.014,0.773,0.001,535.048,336.269
82574.103,301.228,0.955,19.803,187.257,-0.144,165.865,167.699,169.657,171.053,170.766,167.941,167.627,168.607,170.125,171.395,174.077,167.573,173.722,172.256,170.699,169.992,-0.009,0.014,0.773,0.000,535.048,336.269
82578.135,301.231,0.955,19.799,187.178,0.176,166.406,169.039,170.193,171.367,172.171,166.693,167.306,167.641,170.013,170.247,172.943,166.722,173.198,171.210,169.765,167.285,-0.009,0.014,0.773,0.000,535.048,336.269
82582.166,301.230,0.955,19.802,187.257,-0.144,165.107,167.252,169.657,170.426,170.766,167.317,166.771,167.856,169.342,170.665,173.577,167.041,173.094,171.210,169.661,167.962,0.002,0.014,0.763,-0.000,535.048,336.269
82578.135,301.230,0.955,19.803,187.257,0.176,165.215,167.922,170.193,170.426,170.874,167.005,166.985,166.140,168.335,169.725,172.098,165.978,172.440,170.058,168.830,167.398,0.022,-0.005,0.763,0.001,535.048,336.269
82574.103,301.228,0.955,19.795,187.099,0.016,165.323,167.252,169.979,171.053,171.739,168.253,167.520,167.856,169.230,170.560,173.049,165.552,173.277,171.419,169.350,167.623,0.022,-0.005,0.783,0.001,535.048,336.269
82578.135,301.230,0.955,19.799,187.178,0.336,164.674,166.806,168.908,170.008,170.549,165.965,166.771,165.925,168.447,169.203,171.570,165.658,171.393,169.640,168.495,166.721,0.012,-0.005,0.753,-0.000,535.048,336.269
82570.072,301.231,0.955,19.796,187.099,-0.144,164.457,167.587,169.550,170.217,170.549,167.109,166.236,167.534,168.559,170.769,172.521,166.829,173.068,169.954,169.429,167.624,0.012,0.014,0.763,0.002,535.048,336.269
82574.103,301.228,0.955,19.799,187.178,0.016,165.215,167.699,169.872,171.053,170.982,167.317,167.092,167.105,169.006,170.351,172.098,165.871,172.021,170.268,168.287,167.172,0.033,-0.005,0.753,0.000,535.048,336.269
82582.166,301.228,0.955,19.798,187.178,0.016,164.241,165.912,169.015,169.694,170.225,166.589,166.130,167.641,167.664,169.934,172.415,166.403,173.068,171.210,169.533,168.752,0.012,0.014,0.753,0.001,535.048,336.269
82578.135,301.228,0.955,19.794,187.099,0.016,165.648,168.815,169.443,171.158,171.198,167.941,167.841,167.856,169.789,170.351,173.366,166.829,172.230,171.105,169.844,168.188,0.033,0.033,0.763,0.001,535.048,336.269
82578.135,301.231,0.955,19.790,187.020,-0.304,165.107,167.141,170.300,170.217,170.982,167.733,166.343,167.320,169.006,170.038,172.626,166.297,173.173,170.791,169.948,169.316,0.012,0.033,0.753,0.000,535.048,336.269
82574.103,301.241,0.955,24.567,288.178,0.176,268.826,273.097,274.021,275.086,274.695,271.721,271.177,271.530,272.533,273.897,276.262,271.562,277.284,277.053,274.530,275.348,0.043,0.033,1.159,0.002,535.048,336.269
82574.103,301.240,0.955,24.571,288.257,0.016,272.831,273.543,277.018,277.387,277.507,274.009,273.209,273.245,274.323,275.985,277.953,271.243,277.912,275.902,273.596,272.640,0.022,0.014,1.159,0.001,535.048,336.269
82574.103,301.238,0.955,24.571,288.257,0.176,269.800,270.975,272.736,274.041,274.587,269.433,270.107,270.779,272.869,273.689,276.262,270.605,276.656,275.274,276.088,273.092,0.033,0.014,1.170,0.000,535.048,336.269
82578.135,301.241,0.955,24.570,288.257,0.176,269.908,272.315,274.984,275.400,275.884,272.657,272.139,273.138,275.441,276.611,279.009,272.307,278.960,274.541,275.050,272.076,0.043,0.014,1.159,0.001,535.048,336.269
82578.135,301.240,0.955,24.563,288.099,0.016,268.609,269.636,273.593,273.100,273.506,269.329,269.465,269.278,271.079,272.749,275.417,269.115,275.713,273.181,271.935,270.272,0.054,0.014,1.159,0.000,535.048,336.269
82578.135,301.238,0.955,24.573,288.336,0.016,267.310,268.966,272.201,272.786,273.614,269.745,270.214,270.457,271.527,272.749,275.206,268.583,276.132,272.239,272.142,266.888,0.064,0.014,1.170,0.000,535.048,336.269
82574.103,301.236,0.955,24.577,288.415,0.016,266.119,266.509,269.418,270.381,271.776,267.041,267.861,267.883,269.849,270.557,272.987,266.348,272.467,270.041,268.923,266.211,0.054,0.014,1.200,0.000,535.048,336.269
82566.040,301.240,0.955,24.579,288.415,0.016,264.711,266.174,269.525,269.231,270.586,266.313,265.829,266.168,268.060,269.200,271.403,264.433,271.420,267.738,267.158,265.196,0.043,0.014,1.180,0.000,535.048,336.269
82574.103,301.241,0.955,24.588,288.652,0.016,262.871,264.723,268.027,268.604,268.964,265.170,265.294,265.310,267.658,268.991,271.297,264.752,271.211,268.157,266.431,263.842,0.033,0.033,1.180,0.001,535.048,336.269
82574.103,301.240,0.955,24.594,288.810,-0.144,263.196,263.830,267.277,267.767,268.207,263.818,264.010,264.559,264.750,267.113,268.867,262.624,269.012,266.901,265.082,263.391,0.043,0.014,1.190,0.000,535.048,336.269
82574.103,301.240,0.955,24.598,288.889,0.016,261.680,265.951,266.635,268.395,268.099,265.274,264.759,265.202,266.316,266.487,270.349,264.646,270.268,269.099,266.328,266.888,0.054,0.014,1.170,0.000,535.048,336.269
82574.103,301.238,0.955,24.601,288.968,-0.144,264.495,267.961,269.739,269.545,269.937,266.313,265.615,266.382,266.987,268.053,271.088,265.245,271.211,269.308,267.989,268.016,0.054,0.033,1.159,0.000,535.048,336.269
82570.072,301.238,0.955,24.605,289.047,0.176,265.036,268.631,270.489,271.740,271.019,268.289,268.182,268.527,269.784,270.662,273.729,267.798,274.312,272.762,270.066,270.272,0.043,-0.005,1.159,0.001,535.048,336.269
82574.103,301.236,0.955,24.621,289.442,0.016,267.093,270.194,270.810,272.995,272.208,268.289,268.396,268.527,269.001,270.662,272.990,267.479,273.893,272.513,270.689,269.369,0.033,-0.005,1.170,0.001,535.048,336.269
82570.072,301.238,0.955,24.625,289.521,-0.464,266.877,270.305,271.666,272.995,273.290,270.161,268.503,268.956,271.238,270.558,274.046,268.224,273.684,271.466,270.650,268.805,0.022,-0.005,1.170,0.001,535.048,336.269
82570.072,301.236,0.955,24.632,289.679,0.016,265.686,267.179,270.060,270.799,270.478,267.145,266.577,267.133,269.001,271.184,272.462,267.479,273.579,271.571,270.754,269.032,0.033,-0.025,1.159,0.001,535.048,336.269
82574.103,301.235,0.955,24.641,289.916,0.016,265.254,265.504,268.562,268.813,268.207,265.481,265.401,265.631,267.099,269.619,271.299,264.926,271.381,269.059,267.847,266.889,0.012,0.014,1.159,0.002,535.048,336.269
82570.072,301.238,0.955,24.649,290.075,-0.144,263.630,266.621,267.920,269.127,269.613,265.481,265.936,266.704,268.330,269.932,272.356,266.734,273.056,270.524,274.076,267.792,0.022,-0.005,1.149,0.002,535.048,336.269
82570.072,301.236,0.955,24.659,290.312,0.016,266.769,267.068,269.204,269.649,269.721,266.313,264.331,265.202,266.204,267.322,269.187,263.330,269.810,266.757,264.110,264.972,0.022,-0.005,1.149,0.000,535.048,336.269
82574.103,301.236,0.955,24.675,290.707,-0.304,260.165,264.165,265.779,266.513,265.936,262.882,262.726,263.058,264.527,266.800,268.975,263.117,269.077,267.176,267.536,263.844,0.043,-0.005,1.149,0.001,535.048,336.269
