%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82227.403,300.891,0.952,15.079,108.235,-0.112,91.161,92.670,95.373,96.297,95.928,92.328,92.105,92.134,94.275,95.614,97.829,91.395,98.104,95.771,93.955,93.513,-0.015,-0.018,0.396,-0.000,535.048,336.269
82227.403,300.890,0.952,15.079,108.235,-0.272,90.620,92.671,94.837,95.879,96.036,92.536,92.532,92.670,93.157,95.197,97.618,91.820,97.894,96.399,94.681,92.723,-0.015,-0.037,0.386,0.000,535.048,336.269
82227.403,300.890,0.952,15.074,108.156,0.208,90.404,92.671,94.944,95.983,95.495,92.432,91.463,91.919,94.164,94.362,97.406,91.075,97.999,95.562,94.266,93.626,-0.035,-0.056,0.396,-0.000,535.048,336.269
82223.372,300.890,0.952,15.079,108.235,-0.112,89.971,92.001,94.195,95.146,95.387,92.016,91.891,91.919,93.045,95.197,96.350,90.863,97.580,95.667,94.474,93.287,-0.015,-0.037,0.386,-0.000,535.048,336.269
82231.435,300.873,0.952,19.963,189.715,-0.112,166.516,169.376,170.944,172.388,171.740,168.749,167.950,168.179,170.433,170.875,173.366,167.149,173.488,171.970,170.468,168.978,0.017,0.021,0.691,0.001,535.048,336.269
82227.403,300.877,0.952,19.963,189.715,-0.112,166.516,168.035,170.837,170.820,171.416,168.229,167.843,167.965,169.874,171.397,172.626,166.723,172.650,170.295,169.533,168.978,0.027,-0.018,0.701,0.001,535.048,336.269
82231.435,300.872,0.952,19.967,189.794,0.048,165.758,167.923,169.444,170.611,170.443,167.813,167.415,167.214,169.315,170.979,173.049,167.149,173.592,171.132,170.156,168.865,0.037,0.001,0.701,0.001,535.048,336.269
82227.403,300.870,0.952,19.975,189.952,-0.272,166.299,167.700,171.050,171.577,171.416,167.709,166.666,167.536,168.420,170.666,172.204,166.510,172.545,170.818,169.014,167.737,0.017,0.001,0.701,0.000,535.048,336.269
82227.403,300.872,0.952,19.976,189.952,-0.112,164.892,167.588,168.588,170.218,170.226,166.982,166.773,166.892,169.203,169.309,172.838,166.936,172.755,171.656,170.156,169.317,0.027,0.001,0.691,-0.000,535.048,336.269
82227.403,300.870,0.952,19.984,190.110,0.048,166.191,168.258,170.729,170.741,171.308,167.708,167.094,167.428,169.650,170.666,172.098,166.830,172.964,169.981,169.637,168.527,0.006,0.001,0.671,-0.000,535.048,336.269
82219.341,300.872,0.952,19.981,190.031,-0.112,164.892,166.807,169.551,170.322,169.686,166.669,166.665,166.999,169.203,170.144,173.155,166.510,173.174,171.551,169.845,169.204,0.017,-0.018,0.691,0.001,535.048,336.269
82223.372,300.869,0.952,19.993,190.268,0.368,165.866,168.035,170.408,171.263,171.957,167.812,168.270,168.071,169.538,171.084,173.577,167.574,173.278,171.865,170.571,168.527,0.017,-0.018,0.691,0.001,535.048,336.269
82223.372,300.870,0.952,19.984,190.110,-0.272,165.433,168.258,170.087,171.159,171.200,167.708,167.307,167.535,169.316,170.353,172.415,166.723,173.174,170.818,169.741,168.753,0.027,-0.018,0.681,0.000,535.048,336.269
82231.435,300.869,0.952,19.996,190.347,-0.112,164.675,167.476,169.230,169.486,170.118,167.085,166.344,166.570,168.309,170.456,171.359,166.617,172.860,171.342,169.637,169.429,0.017,0.021,0.681,0.000,535.048,336.269
82219.341,300.870,0.952,20.006,190.505,-0.112,167.057,168.816,171.799,172.204,171.740,168.956,168.484,168.608,170.434,171.709,174.105,167.362,174.535,171.446,170.260,168.640,0.017,0.021,0.671,-0.000,535.048,336.269
82223.372,300.872,0.952,20.005,190.505,0.208,166.408,168.258,170.194,171.159,170.875,167.501,166.131,167.106,168.757,170.456,172.521,166.617,172.441,171.132,169.533,168.640,0.037,-0.018,0.681,0.001,535.048,336.269
82235.466,300.870,0.952,20.020,190.821,-0.112,166.191,168.705,170.836,171.786,171.849,168.540,168.377,168.608,171.441,171.709,175.056,168.000,174.457,171.865,170.571,168.301,0.017,-0.018,0.671,0.001,535.048,336.269
82227.403,300.869,0.952,20.021,190.821,0.208,165.974,167.253,169.765,170.113,171.092,167.708,167.414,166.892,168.757,170.874,171.992,166.510,172.677,170.609,169.845,169.091,0.017,-0.037,0.660,0.000,535.048,336.269
82227.403,300.870,0.952,20.021,190.821,-0.272,165.650,167.365,169.658,170.532,170.767,167.501,167.628,167.964,169.987,170.665,173.472,166.191,173.619,170.190,169.637,167.625,0.006,-0.018,0.671,0.001,535.048,336.269
82219.341,300.865,0.952,20.030,190.979,-0.112,165.108,166.137,169.551,169.590,170.010,165.525,165.810,166.034,168.197,169.621,171.042,165.021,171.525,169.562,168.495,166.948,0.027,0.001,0.671,-0.000,535.048,336.269
82227.403,300.872,0.952,20.029,190.979,-0.272,164.784,167.365,169.016,169.800,169.794,166.773,165.489,166.677,169.092,169.412,172.521,166.085,172.572,169.981,168.391,167.061,0.017,0.001,0.671,0.001,535.048,336.269
82227.403,300.873,0.952,20.034,191.058,-0.272,164.242,166.694,169.444,169.381,169.794,166.253,166.131,165.819,167.638,169.204,171.042,165.234,171.944,169.562,168.495,167.850,0.027,-0.018,0.671,0.001,535.048,336.269
82211.278,300.872,0.952,20.036,191.058,-0.272,164.675,166.583,168.588,169.904,170.118,167.293,166.344,166.892,168.197,169.517,172.204,165.127,172.468,170.295,168.807,168.527,0.017,-0.018,0.671,0.000,535.048,336.269
82219.341,300.872,0.952,20.043,191.216,0.048,165.108,169.262,169.980,170.950,171.092,167.085,168.056,168.608,170.099,170.769,173.366,168.000,173.201,172.179,170.571,170.106,0.017,-0.037,0.681,0.001,535.048,336.269
82219.341,300.844,0.952,25.102,299.961,-0.112,264.065,265.843,268.672,269.194,269.399,265.029,265.403,265.891,266.945,267.847,270.138,264.714,270.230,268.160,268.159,265.650,0.058,-0.018,1.016,0.001,535.048,336.269
82211.278,300.841,0.952,25.120,300.356,-0.112,263.199,265.171,266.531,267.207,267.236,264.717,264.333,264.603,267.057,267.638,270.455,264.076,271.173,267.846,267.225,264.860,0.058,0.021,1.036,-0.001,535.048,336.269
82211.278,300.844,0.952,25.123,300.435,0.048,262.008,262.157,266.315,265.744,266.479,262.014,263.157,261.386,264.596,265.863,266.863,261.097,266.880,264.287,264.422,260.799,0.079,0.021,1.026,0.000,535.048,336.269
